File Name,Title,Location,Category,Category2,Description,Tags,Year,Duration,Services
38,,,,,,,,,
1,House of Holland,London,Fashion,Commercial,"Asi ruhu, maksimalist tasarımı ve cesur renk paletiyle
House of Holland’ı Londra’nın enerjisiyle buluşturduk.
Unisex koleksiyonların sınır tanımayan stilini güçlü
bir görsel hikâyeye dönüştürdük.","Maximalist Fashion, Bold Colors, London Style,
Unisex Collection, Designer Brand",2024,27s,"Fashion Film,
Color Grading"
2,House of Holland,London,Fashion,Commercial,"House of Holland'ın asi ruhu, canlı renkleri ve
özgün detaylarıyla izleyiciyi özgürlüğe
davet eden bir görsel hikâye.","Maximalist Fashion, Bold Colors, London Style,
Unisex Collection, Designer Brand",2024,12s,"Fashion Film, Color Grading,
Visual Storytelling"
9,Liquorish,London,Fashion,Commercial,"Liquorish’in her bedene uygun, göz alıcı koleksiyonunu
sinematik bir hikâyeye dönüştürdük. Her kare stilin ve
enerjinin hikâyesini yansıtıyor.","Fashion Storytelling, Vibrant Fashion,
Women's Style",2023,33s,"Video Production,
Color Grading"
12,House of Holland,London,Fashion,Commercial,"2023 koleksiyonundan seçilen bu look, Londra’nın sokak atmosferinde hayat buldu. Kameramızla şehrin dinamizmini yakalayarak, moda ve yaşam tarzı arasındaki bağı daha da güçlendirdik.","Maximalist Fashion, Bold Colors, London Style,
Unisex Collection, Designer Brand",2023,29s,"Fashion Film, Color Grading,
Visual Storytelling"
13,House of Holland,London,Fashion,Commercial,"Parlak renkler ve özgün silüetleri, modern kurgu ve dinamik açılarla bir araya getirdik. Her kare markanın özgür ve sınır tanımayan duruşunu hissettiriyor.","Maximalist Fashion, Bold Colors, London Style,
Unisex Collection, Designer Brand",2023,11s,"Fashion Film, Color Grading,
Visual Storytelling, Cinematic Editing"
14,Liquorish,London,Fashion,Commercial,"Liquorish'in canlı yaz koleksiyonu ile
Bodrum sokaklarının enerjisi... Hareketli geçişler, canlı renk
düzenlemeleri ve farklı perspektiflerden çekimler ile
görsel anlatımı bir araya getirdik.","Fashion Video Production, Street
Cinematography, Video Editing",2023,16s,"Location Filming, Creative Editing,
Color Grading"
15,House of Holland,London,Fashion,Commercial,"Stüdyo çekimini kurguladığımız House of Holland'ın SS24 koleksiyonunu enerjik bir hikâyeye dönüştürdük. Hızlı kesimler, güçlü açılar ve canlı tonlarla House of Holland’ın özgün ruhunu yansıttık.","Maximalist Fashion, Bold Colors, London Style,
Unisex Collection, Designer Brand",2024,20s,"Video Production, Dynamic Editing, Sound Design, Post Production"
16,Liquorish,London,Fashion,Commercial,"Londra'nın en güzel otellerinden birinin sofistike atmosferinde çekilen AW23 koleksiyonunu, kurguda detaylı geçişler ve zarif bir ritimle işledik. Her sahnede hem mekanın şıklığını hem de koleksiyonun güçlü silüetlerini öne çıkardık.","Fashion Storytelling, Vibrant Fashion,
Women's Style",2023,22s,"Video Production,
Color Grading, Creative Editing"
17,Liquorish,London,Fashion,Commercial,"Liquorish’in AW23 koleksiyonu için yapılan otel çekimlerini, detaylara özen gösteren rafine bir kurgu ile tamamladık. Koleksiyonun sofistike ruhunu izleyiciye yansıtan bir akış yarattık.","Fashion Storytelling, Vibrant Fashion,
Women's Style",2023,17s,"Video Production,
Color Grading, Creative Editing"
41,House Of Holland,London,Fashion,Commercial,"House of Holland'ın asi ruhu, canlı renkleri ve
özgün detaylarıyla izleyiciyi özgürlüğe
davet eden bir görsel hikâye.",,,,
4,Cliff,Bodrum,Gastronomi,Commercial,"Ege’nin taze aromaları ve renkli mezeleri,
Cliff Bodrum mutfağında hayat buldu.
Kitchen Series ile izleyiciyi, tabaktan önce mutfağın
büyüsüne davet ettik.","Aegean Cuisine, Close-Up Filming, Fine Dining",2024,20s,"Food Videography, Close-Up Shots,
Color Grading, Brand Storytelling"
5,Cliff,Bodrum,Gastronomi,Commercial,"Cliff mutfağında pişen her tatlının ardındaki özenin, merakın ve şeflerin tutkuyla dokunduğu detayların samimi kurgusu… Tüm açılar, her bir dokunuşun ardındaki emeği görünür kıldı.","Kitchen Series, Pastry Experience, Culinary Art",2024,23s,"Video Production, Close-up Cinematography, Post Production, Sound Design"
